"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD flow","Verify edit role functionality","SUCCESS","2022-12-08T14:22:37.800955+07:00[Asia/Jakarta]","0.0","20.12"
"CRUD flow","Verify delete role functionality","SUCCESS","2022-12-08T14:24:27.669875+07:00[Asia/Jakarta]","0.0","21.55"
"CRUD flow","Verify edit role privilege only","SUCCESS","2022-12-08T09:00:53.440272609Z[Etc/UTC]","0.0","28.71"
"Role ManagementAuthentication","Verify accessing page without authorization","SUCCESS","2022-12-08T14:24:54.278968+07:00[Asia/Jakarta]","0.0","19.35"
"Role ManagementAuthentication","Verify accessing page with authorized credentials","SUCCESS","2022-12-08T14:25:13.644591+07:00[Asia/Jakarta]","0.0","19.66"
"Role ManagementAuthentication","Verify accessing page with unauthorized credentials","SUCCESS","2022-12-08T14:25:33.320175+07:00[Asia/Jakarta]","0.0","22.32"
"Role Management Search Bar","Verify search by Nama Role","SUCCESS","2022-12-08T14:26:10.820631+07:00[Asia/Jakarta]","0.0","18.93"
"Role Management Search Bar","Verify search by Privilege","SUCCESS","2022-12-08T14:26:29.761216+07:00[Asia/Jakarta]","0.0","19.79"
"Role Management Search Bar","Verify search by null value","SUCCESS","2022-12-08T14:26:49.563754+07:00[Asia/Jakarta]","0.0","18.81"
"Page Navigation","Verify navigating page trough nav bar","SUCCESS","2022-12-08T14:27:08.385976+07:00[Asia/Jakarta]","0.0","22.93"
"Page Navigation","Verify navigating page trough directly typed","SUCCESS","2022-12-08T14:27:31.328431+07:00[Asia/Jakarta]","0.0","20.99"
"Tambah Role Page","Verify accessing Tambah Role page by button","SUCCESS","2022-12-08T14:27:52.338444+07:00[Asia/Jakarta]","0.0","19.09"
"Tambah Role Page","Verify accessing Tambah role by url","SUCCESS","2022-12-08T14:28:11.435408+07:00[Asia/Jakarta]","0.0","17.79"
"Tambah Role Page","Verify if Nama Role field is mandatory","SUCCESS","2022-12-08T14:28:48.786742+07:00[Asia/Jakarta]","0.0","18.62"
"Tambah Role Page","Verify Cancel button visibility and functionality","SUCCESS","2022-12-08T14:29:07.417872+07:00[Asia/Jakarta]","0.0","24.94"
