"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD flow","Verify view detailed role information","SUCCESS","2022-12-08T14:22:07.024838+07:00[Asia/Jakarta]","0.0","30.74"
"CRUD flow","Verify edit role functionality","SUCCESS","2022-12-08T14:22:37.800955+07:00[Asia/Jakarta]","0.0","20.12"
"CRUD flow","Verify create new role without privilege","SUCCESS","2022-12-08T14:22:57.981415+07:00[Asia/Jakarta]","0.0","5.07"
"CRUD flow","Verify create new role with valid privilege","SUCCESS","2022-12-08T14:23:03.072565+07:00[Asia/Jakarta]","0.0","5.04"
"CRUD flow","Verify create new role by multiple tap","SUCCESS","2022-12-08T14:23:13.207128+07:00[Asia/Jakarta]","0.0","31.63"
"CRUD flow","Verify create new role with blank nama role","SUCCESS","2022-12-08T14:23:44.85504+07:00[Asia/Jakarta]","0.0","5.03"
"CRUD flow","Verify create new role functionality","SUCCESS","2022-12-08T14:23:49.902928+07:00[Asia/Jakarta]","0.0","37.75"
"CRUD flow","Verify delete role functionality","SUCCESS","2022-12-08T14:24:27.669875+07:00[Asia/Jakarta]","0.0","21.55"
"CRUD flow","Verify edit role privilege only","SUCCESS","2022-12-09T14:44:50.638395+07:00[Asia/Jakarta]","0.0","55.35"
"Role ManagementAuthentication","Verify accessing page without authorization","SUCCESS","2022-12-08T14:24:54.278968+07:00[Asia/Jakarta]","0.0","19.35"
"Role ManagementAuthentication","Verify accessing page with authorized credentials","SUCCESS","2022-12-08T14:25:13.644591+07:00[Asia/Jakarta]","0.0","19.66"
"Role ManagementAuthentication","Verify accessing page with unauthorized credentials","SUCCESS","2022-12-08T14:25:33.320175+07:00[Asia/Jakarta]","0.0","22.32"
"Role Management Element Visibility","Verify critical element visibility","SUCCESS","2022-12-08T14:25:55.65851+07:00[Asia/Jakarta]","0.0","5.03"
"Role Management Element Visibility","Verify column visibility","SUCCESS","2022-12-08T14:26:00.702954+07:00[Asia/Jakarta]","0.0","5.03"
"Role Management Element Visibility","Verify action button visibility","SUCCESS","2022-12-08T14:26:05.742277+07:00[Asia/Jakarta]","0.0","5.03"
"Role Management Pagination Limit","Verify pagination limit of data shown in Role Management page is 10","SUCCESS","2022-12-08T14:26:10.787313+07:00[Asia/Jakarta]","0.0","0.02"
"Role Management Search Bar","Verify search by Nama Role","SUCCESS","2022-12-08T14:26:10.820631+07:00[Asia/Jakarta]","0.0","18.93"
"Role Management Search Bar","Verify search by Privilege","SUCCESS","2022-12-08T14:26:29.761216+07:00[Asia/Jakarta]","0.0","19.79"
"Role Management Search Bar","Verify search by null value","SUCCESS","2022-12-08T14:26:49.563754+07:00[Asia/Jakarta]","0.0","18.81"
"Page Navigation","Verify navigating page trough nav bar","SUCCESS","2022-12-08T14:27:08.385976+07:00[Asia/Jakarta]","0.0","22.93"
"Page Navigation","Verify navigating page trough directly typed","SUCCESS","2022-12-08T14:27:31.328431+07:00[Asia/Jakarta]","0.0","20.99"
"Tambah Role Page","Verify accessing Tambah Role page by button","SUCCESS","2022-12-08T14:27:52.338444+07:00[Asia/Jakarta]","0.0","19.09"
"Tambah Role Page","Verify accessing Tambah role by url","SUCCESS","2022-12-08T14:28:11.435408+07:00[Asia/Jakarta]","0.0","17.79"
"Tambah Role Page","Verify if Nama Role field is mandatory","SUCCESS","2022-12-08T14:28:48.786742+07:00[Asia/Jakarta]","0.0","18.62"
"Tambah Role Page","Verify Cancel button visibility and functionality","SUCCESS","2022-12-08T14:29:07.417872+07:00[Asia/Jakarta]","0.0","24.94"
"Tambah Role Page","Verify Tambah Role Modal element visibility","SUCCESS","2022-12-08T16:09:32.843187+07:00[Asia/Jakarta]","0.0","20.26"
