"Story","Title","Result","Date","Stability","Duration (s)"
"Top Itinerary Delete Modal Batal Button","Top Itinerary Delete Modal Batal Button functionality","SUCCESS","2022-12-12T15:22:58.972947+07:00[Asia/Jakarta]","0.0","21.33"
"Top Itinerary Delete Modal Hapus Button","Top Itinerary Delete Modal Hapus Button functionality","SUCCESS","2022-12-12T15:49:27.900731+07:00[Asia/Jakarta]","0.0","23.85"
"Add Itinerary Button","Add Itinerary Button functionality","SUCCESS","2022-12-12T15:42:14.5434+07:00[Asia/Jakarta]","0.0","18.31"
"Top Itinerary Delete Icon","Itinerary Page Delete Button functionality","SUCCESS","2022-12-12T15:33:44.070086+07:00[Asia/Jakarta]","0.0","27.53"
"Top Itinerary Search Bar functionality","Search Top Itinerary data by name","SUCCESS","2022-12-12T15:34:11.662418+07:00[Asia/Jakarta]","0.0","22.11"
"Top Itinerary Tableview","Column visibility","SUCCESS","2022-12-12T14:59:32.104258+07:00[Asia/Jakarta]","0.0","19.94"
"Modal Add Itinerary add icon","Modal Add Itinerary add icon","SUCCESS","2022-12-12T15:00:02.406764+07:00[Asia/Jakarta]","0.0","20.93"
"Modal Add Itinerary Tableview","Modal Add Itinerary Column visibility","SUCCESS","2022-12-12T15:00:23.365102+07:00[Asia/Jakarta]","0.0","18.36"
"Modal Add Itinerary Tableview","Modal Add Itinerary Pagination limit","SUCCESS","2022-12-12T15:00:46.787228+07:00[Asia/Jakarta]","0.0","18.09"
"Modal Add Itinerary Search bar","Search itinerary by ""Nama Itinerary""","SUCCESS","2022-12-12T15:01:26.274517+07:00[Asia/Jakarta]","0.0","17.83"
"Modal Add Itinerary Search bar","Search itinerary with blank value","SUCCESS","2022-12-12T15:01:44.12015+07:00[Asia/Jakarta]","0.0","17.51"
"Modal Add Itinerary Search bar","Search itinerary by Itinerary Title","FAILURE","2022-12-12T15:24:20.624557+07:00[Asia/Jakarta]","0.0","19.84"
"CRUD flow","Verify edit role functionality","SUCCESS","2022-12-08T14:22:37.800955+07:00[Asia/Jakarta]","0.0","20.12"
"CRUD flow","Verify delete role functionality","SUCCESS","2022-12-08T14:24:27.669875+07:00[Asia/Jakarta]","0.0","21.55"
"CRUD flow","Verify edit role privilege only","SUCCESS","2022-12-12T15:24:40.511284+07:00[Asia/Jakarta]","0.0","18.47"
"Role ManagementAuthentication","Verify accessing page without authorization","SUCCESS","2022-12-08T14:24:54.278968+07:00[Asia/Jakarta]","0.0","19.35"
"Role ManagementAuthentication","Verify accessing page with authorized credentials","SUCCESS","2022-12-08T14:25:13.644591+07:00[Asia/Jakarta]","0.0","19.66"
"Role ManagementAuthentication","Verify accessing page with unauthorized credentials","SUCCESS","2022-12-08T14:25:33.320175+07:00[Asia/Jakarta]","0.0","22.32"
"Role Management Search Bar","Verify search by Nama Role","SUCCESS","2022-12-08T14:26:10.820631+07:00[Asia/Jakarta]","0.0","18.93"
"Role Management Search Bar","Verify search by Privilege","SUCCESS","2022-12-08T14:26:29.761216+07:00[Asia/Jakarta]","0.0","19.79"
"Role Management Search Bar","Verify search by null value","SUCCESS","2022-12-08T14:26:49.563754+07:00[Asia/Jakarta]","0.0","18.81"
"Page Navigation","Verify navigating page trough nav bar","SUCCESS","2022-12-08T14:27:08.385976+07:00[Asia/Jakarta]","0.0","22.93"
"Page Navigation","Verify navigating page trough directly typed","SUCCESS","2022-12-08T14:27:31.328431+07:00[Asia/Jakarta]","0.0","20.99"
"Tambah Role Page","Verify accessing Tambah Role page by button","SUCCESS","2022-12-08T14:27:52.338444+07:00[Asia/Jakarta]","0.0","19.09"
"Tambah Role Page","Verify accessing Tambah role by url","SUCCESS","2022-12-08T14:28:11.435408+07:00[Asia/Jakarta]","0.0","17.79"
"Tambah Role Page","Verify if Nama Role field is mandatory","SUCCESS","2022-12-08T14:28:48.786742+07:00[Asia/Jakarta]","0.0","18.62"
"Tambah Role Page","Verify Cancel button visibility and functionality","SUCCESS","2022-12-08T14:29:07.417872+07:00[Asia/Jakarta]","0.0","24.94"
"Tambah Role Page","Verify Tambah Role Modal element visibility","SUCCESS","2022-12-08T16:09:32.843187+07:00[Asia/Jakarta]","0.0","20.26"
