"Story","Title","Result","Date","Stability","Duration (s)"
"Top Itinerary Tableview","Data is sorted by rank","SUCCESS","2022-12-09T14:36:32.499896+07:00[Asia/Jakarta]","0.0","5.07"
"Top Itinerary Tableview","Able to edit itinerary rank by dragging the row position","FAILURE","2022-12-09T14:36:37.603656+07:00[Asia/Jakarta]","0.0","5.04"
"CRUD flow","Verify create new role without privilege","SUCCESS","2022-12-08T14:22:57.981415+07:00[Asia/Jakarta]","0.0","5.07"
"CRUD flow","Verify create new role with valid privilege","SUCCESS","2022-12-08T14:23:03.072565+07:00[Asia/Jakarta]","0.0","5.04"
"CRUD flow","Verify if Nama Role is unique","FAILURE","2022-12-08T14:23:08.137987+07:00[Asia/Jakarta]","0.0","5.05"
"CRUD flow","Verify create new role with blank nama role","SUCCESS","2022-12-08T14:23:44.85504+07:00[Asia/Jakarta]","0.0","5.03"
"Role Management Element Visibility","Verify critical element visibility","SUCCESS","2022-12-08T14:25:55.65851+07:00[Asia/Jakarta]","0.0","5.03"
"Role Management Element Visibility","Verify column visibility","SUCCESS","2022-12-08T14:26:00.702954+07:00[Asia/Jakarta]","0.0","5.03"
"Role Management Element Visibility","Verify action button visibility","SUCCESS","2022-12-08T14:26:05.742277+07:00[Asia/Jakarta]","0.0","5.03"
"Role Management Pagination Limit","Verify pagination limit of data shown in Role Management page is 10","SUCCESS","2022-12-08T14:26:10.787313+07:00[Asia/Jakarta]","0.0","0.02"
